GEO	E_CRR	W_CRR	B_CRR	R_CRR	Y_CRR	E_ACE	W_ACE	B_ACE	R_ACE	Y_ACE
01001	0.9	0.9	0.91	1.27	0.41	-85	-82	-2	3	-4
01003	0.98	0.91	1.11	1.77	0.77	-234	-299	7	63	-4
01005	1.14	0.95	1.14	2.71	0.31	-19	-30	-5	17	-1
01007	0.9	0.88	0.92	1.19	1.0	-34	-27	-7	0	-1
01009	1.0	0.91	1.68	1.74	1.49	-37	-78	5	34	1
01011	1.14	0.84	1.04	2.38	1.18	7	-4	-1	12	0
01013	0.99	0.98	0.98	1.12	1.75	-17	-19	0	0	2
01015	0.87	0.79	0.98	1.56	1.02	-119	-169	24	25	1
01017	0.92	0.91	0.92	1.65	0.52	-53	-43	-12	3	0
01019	0.9	0.85	1.51	1.22	2.9	-50	-51	-1	1	1
01021	1.07	0.93	1.28	2.11	0.97	6	-42	12	34	1
01023	0.8	0.85	0.75	1.07	0.0	-43	-18	-24	0	0
01025	0.85	0.84	0.85	1.15	1.18	-59	-39	-19	0	0
01027	0.92	0.86	1.13	1.2	0.76	-32	-32	-1	2	0
01029	1.01	0.97	1.47	1.93	1.71	-15	-17	0	2	0
01031	1.0	0.91	1.1	1.63	0.92	-18	-46	3	26	-1
01033	0.88	0.83	0.99	1.47	0.83	-108	-110	-5	9	-1
01035	0.94	0.91	0.98	0.72	0.71	-28	-20	-7	-1	0
01037	0.84	0.77	0.91	1.43	1.73	-27	-16	-12	1	0
01039	0.95	0.94	0.95	1.56	0.95	-52	-53	-1	3	0
01041	0.99	0.97	0.95	2.27	1.21	-19	-22	-1	2	2
01043	0.99	0.92	1.45	1.98	1.21	-90	-128	4	31	2
01045	1.07	1.04	1.0	1.79	0.75	14	-18	8	25	-1
01047	1.09	0.9	1.14	2.49	1.24	-14	-32	15	3	0
01049	1.08	0.87	1.62	2.03	1.16	5	-120	8	113	4
01051	0.8	0.78	0.79	1.03	0.99	-196	-177	-21	3	-1
01053	1.05	1.01	1.09	1.21	0.78	-11	-27	13	3	-1
01055	0.89	0.83	0.96	1.81	1.11	-131	-171	11	26	3
01057	0.91	0.89	0.99	1.33	1.58	-36	-34	-4	1	0
01059	1.07	0.84	1.21	2.05	1.11	0	-56	1	54	1
01061	0.93	0.89	0.99	1.67	1.45	-38	-42	-2	6	0
01063	1.03	0.77	1.07	0.22	1.74	-16	-4	-12	-1	0
01065	0.94	0.96	0.9	2.61	1.5	-40	-16	-25	1	0
01067	0.9	0.85	0.94	1.79	0.45	-33	-25	-11	3	0
01069	0.97	0.86	1.1	1.88	0.92	-91	-156	40	25	0
01071	0.88	0.85	1.21	1.23	0.75	-96	-104	1	7	0
01073	0.93	0.81	0.98	1.73	0.87	-402	-642	3	226	11
01075	0.93	0.92	0.91	1.57	2.67	-22	-18	-4	1	0
01077	0.87	0.81	1.03	1.76	0.65	-137	-161	2	21	1
01079	0.93	0.94	0.93	0.84	1.21	-81	-63	-13	-6	0
01081	0.72	0.64	0.88	1.37	0.74	-32	-73	1	33	5
01083	0.97	0.9	1.02	1.79	1.01	-129	-158	-14	40	4
