id	rate
Taranaki Region	1.54536108644
West Coast Region	1.33876951846
Northland Region	1.55494602632
Total, Regional Council Areas	1.22695513311
Hawke's Bay Region	1.52650642912
Manawatu-Wanganui Region	1.41924097843
Gisborne Region	1.4189877539
Wellington Region	1.14883472147
Auckland Region	1.10725450651
Nelson Region	1.38604408975
Area Outside Region	1.23711340206
Bay of Plenty Region	1.38134977495
Otago Region	1.00673385278
Tasman Region	1.43859802838
Waikato Region	1.36977819732
Canterbury Region	1.21659484607
Southland Region	1.43000454118
Marlborough Region	1.53187522592
